State,Year,County,Party,Personal income (thousands of dollars) 2007,Personal income (thousands of dollars) 2006,Personal income (thousands of dollars) 2005, Net earnings by place of residence 2007, Net earnings by place of residence 2006, Net earnings by place of residence 2005, Personal current transfer receipts 2007, Personal current transfer receipts 2006, Personal current transfer receipts 2005,  Income maintenance benefits 1/2007,  Income maintenance benefits 1/2006,  Income maintenance benefits 1/2005,  Unemployment insurance compensation 2007,  Unemployment insurance compensation 2006,  Unemployment insurance compensation 2005,  Retirement and other 2007,  Retirement and other 2006,  Retirement and other 2005," Dividends, interest, and rent 2/2007"," Dividends, interest, and rent 2/2006"," Dividends, interest, and rent 2/2005", Population (persons) 3/2007, Population (persons) 3/2006, Population (persons) 3/2005, Per capita personal income 4/2007, Per capita personal income 4/2006, Per capita personal income 4/2005, Per capita net earnings 4/2007, Per capita net earnings 4/2006, Per capita net earnings 4/2005, Per capita personal current transfer receipts 4/2007, Per capita personal current transfer receipts 4/2006, Per capita personal current transfer receipts 4/2005,  Per capita income maintenance benefits 4/2007,  Per capita income maintenance benefits 4/2006,  Per capita income maintenance benefits 4/2005,  Per capita unemployment insurance compensation 4/2007,  Per capita unemployment insurance compensation 4/2006,  Per capita unemployment insurance compensation 4/2005,  Per capita retirement and other 4/2007,  Per capita retirement and other 4/2006,  Per capita retirement and other 4/2005," Per capita dividends, interest, and rent 4/2007"," Per capita dividends, interest, and rent 4/2006"," Per capita dividends, interest, and rent 4/2005", Earnings by place of work 2007, Earnings by place of work 2006, Earnings by place of work 2005,  Wages and salaries 2007,  Wages and salaries 2006,  Wages and salaries 2005,  Supplements to wages and salaries 2007,  Supplements to wages and salaries 2006,  Supplements to wages and salaries 2005,   Employer contributions for employee pension and insurance funds 5/2007,   Employer contributions for employee pension and insurance funds 5/2006,   Employer contributions for employee pension and insurance funds 5/2005,   Employer contributions for government social insurance 2007,   Employer contributions for government social insurance 2006,   Employer contributions for government social insurance 2005,  Proprietors' income 2007,  Proprietors' income 2006,  Proprietors' income 2005,   Farm proprietors' income 2007,   Farm proprietors' income 2006,   Farm proprietors' income 2005,   Nonfarm proprietors' income 2007,   Nonfarm proprietors' income 2006,   Nonfarm proprietors' income 2005
Alabama,2008,Crenshaw,R,373133,367154,371135,222495,232602,241160,101318,94158,89561,11778,10473,10304,794,693,758,88746,82992,78499,49320,40394,40414,13956,13880,13699,26736,26452,27092,15943,16758,17604,7260,6784,6538,844,755,752,57,50,55,6359,5979,5730,3534,2910,2950,192052,202197,204214,112604,107841,91806,30272,29607,26358,22127,21758,19389,8145,7849,6969,49176,64749,86050,28434,45420,69108,20742,19329,16942
Alabama,2008,Cullman,R,2338428,2225995,2190108,1448130,1435893,1450599,527686,496569,456516,43472,38410,37162,3747,3539,3860,480467,454620,415494,362612,293533,282993,79576,79044,78692,29386,28161,27831,18198,18166,18434,6631,6282,5801,546,486,472,47,45,49,6038,5751,5280,4557,3714,3596,1324715,1329445,1349394,933000,892881,839491,222255,215915,212629,153672,150239,149536,68583,65676,63093,169460,220649,297274,24736,68867,151909,144724,151782,145365
Alabama,2008,Dale,R,1554745,1509370,1406701,969301,974915,906323,308162,283644,264148,36981,32567,32168,2243,2481,2222,268938,248596,229758,277282,250811,236230,49488,49077,49050,31417,30755,28679,19587,19865,18478,6227,5780,5385,747,664,656,45,51,45,5434,5065,4684,5603,5111,4816,1623720,1554951,1421731,1086688,1004975,937047,343869,317691,303067,255519,236314,227544,88350,81377,75523,193163,232285,181617,11367,10592,27011,181796,221693,154606
Alabama,2008,Dallas,D,1160392,1141173,1072755,611448,614066,577716,369891,352014,323144,73083,65618,61896,3658,3427,3412,293150,282969,257836,179053,175093,171895,44194,44323,44434,26257,25747,24143,13836,13854,13002,8370,7942,7272,1654,1480,1393,83,77,77,6633,6384,5803,4052,3950,3869,721839,727670,690429,511932,510071,491577,129556,130159,130134,90677,91611,92262,38879,38548,37872,80351,87440,68718,10089,20502,21624,70262,66938,47094
Alabama,2008,DeKalb,R,1760552,1631870,1607487,1076916,1029250,1043650,439287,398713,368250,45888,38931,37872,3679,3381,3890,389720,356401,326488,244349,203907,195587,69450,68495,67794,25350,23825,23711,15506,15027,15394,6325,5821,5432,661,568,559,53,49,57,5612,5203,4816,3518,2977,2885,1039313,1001477,1016673,740892,726499,687833,183639,178926,175266,126933,122469,121576,56706,56457,53690,114782,96052,153574,33445,8822,70693,81337,87230,82881
Alabama,2008,Elmore,R,2450334,2290957,2113980,1631378,1567175,1443491,432305,385085,351880,44916,40762,38101,3349,3130,3188,384040,341193,310591,386651,338697,318609,77124,75246,72978,31771,30446,28967,21153,20827,19780,5605,5118,4822,582,542,522,43,42,44,4980,4534,4256,5013,4501,4366,847171,817216,758251,576258,535682,496964,144502,134445,129089,101211,94219,91146,43291,40226,37943,126411,147089,132198,327,3678,5349,126084,143411,126849
Alabama,2008,Escambia,R,927497,889777,854634,504672,492441,484265,258128,236200,218936,30511,25774,27855,2153,1889,2014,225464,208537,189067,164697,161136,151433,37839,37673,37601,24512,23618,22729,13337,13071,12879,6822,6270,5823,806,684,741,57,50,54,5959,5535,5028,4353,4277,4027,586511,567711,558160,429343,407216,393416,108734,105048,106659,77738,75541,77658,30996,29507,29001,48434,55447,58085,5377,12878,16915,43057,42569,41170
Alabama,2008,Etowah,R,2940430,2764680,2675577,1722958,1666329,1627894,775615,719429,671239,71192,62611,60390,5731,5178,5554,698692,651640,605295,441857,378922,376444,103893,103528,103174,28302,26705,25933,16584,16095,15778,7466,6949,6506,685,605,585,55,50,54,6725,6294,5867,4253,3660,3649,1679101,1633851,1601262,1206023,1171061,1139129,282820,281058,284169,193951,193598,197367,88869,87460,86802,190258,181732,177964,1811,-5479,11086,188447,187211,166878
Alabama,2008,Fayette,R,426177,404574,395896,231759,231942,228942,134684,122314,114366,13110,11242,11884,974,853,867,120600,110219,101615,59734,50318,52588,17523,17767,18030,24321,22771,21958,13226,13055,12698,7686,6884,6343,748,633,659,56,48,48,6882,6204,5636,3409,2832,2917,196244,195681,194138,141201,141031,135138,41636,41611,41699,31175,31033,31277,10461,10578,10422,13407,13039,17301,689,-829,3033,12718,13868,14268
Alabama,2008,Franklin,R,829188,775689,767515,494379,481997,490994,218583,203594,186938,21994,19152,18080,2231,1926,2128,194358,182516,166730,116226,90098,89583,31004,31134,30968,26745,24915,24784,15946,15481,15855,7050,6539,6036,709,615,584,72,62,69,6269,5862,5384,3749,2894,2893,467067,457581,469853,322555,310088,292809,88413,86122,84740,63910,62192,62022,24503,23930,22718,56099,61371,92304,9777,11746,46042,46322,49625,46262
