,State,County,President,Party
316,Colorado,Yuma,Donald Trump,R
317,Colorado,Broomfield,Kamala Harris,D
318,Connecticut,Andover,Donald Trump,R
319,Connecticut,Ansonia,Kamala Harris,D
320,Connecticut,Ashford,Kamala Harris,D
321,Connecticut,Avon,Kamala Harris,D
322,Connecticut,Barkhamsted,Donald Trump,R
323,Connecticut,Beacon Falls,Donald Trump,R
324,Connecticut,Berlin,Donald Trump,R
325,Connecticut,Bethany,Kamala Harris,D
326,Connecticut,Bethel,Kamala Harris,D
327,Connecticut,Bethlehem,Donald Trump,R
328,Connecticut,Bloomfield,Kamala Harris,D
329,Connecticut,Bolton,Kamala Harris,D
330,Connecticut,Bozrah,Donald Trump,R
331,Connecticut,Branford,Kamala Harris,D
332,Connecticut,Bridgeport,Kamala Harris,D
333,Connecticut,Bridgewater,Kamala Harris,D
334,Connecticut,Bristol,Donald Trump,R
335,Connecticut,Brookfield,Donald Trump,R
336,Connecticut,Brooklyn,Donald Trump,R
337,Connecticut,Burlington,Donald Trump,R
338,Connecticut,Canaan,Kamala Harris,D
339,Connecticut,Canterbury,Donald Trump,R
340,Connecticut,Canton,Kamala Harris,D
341,Connecticut,Chaplin,Donald Trump,R
342,Connecticut,Cheshire,Kamala Harris,D
343,Connecticut,Chester,Kamala Harris,D
344,Connecticut,Clinton,Kamala Harris,D
345,Connecticut,Colchester,Kamala Harris,D
346,Connecticut,Colebrook,Donald Trump,R
347,Connecticut,Columbia,Kamala Harris,D
348,Connecticut,Cornwall,Kamala Harris,D
349,Connecticut,Coventry,Kamala Harris,D
350,Connecticut,Cromwell,Kamala Harris,D
351,Connecticut,Danbury,Kamala Harris,D
352,Connecticut,Darien,Kamala Harris,D
353,Connecticut,Deep River,Kamala Harris,D
354,Connecticut,Derby,Donald Trump,R
355,Connecticut,Durham,Donald Trump,R
356,Connecticut,Eastford,Donald Trump,R
357,Connecticut,East Granby,Kamala Harris,D
358,Connecticut,East Haddam,Kamala Harris,D
359,Connecticut,East Hampton,Kamala Harris,D
360,Connecticut,East Hartford,Kamala Harris,D
361,Connecticut,East Haven,Donald Trump,R
362,Connecticut,East Lyme,Kamala Harris,D
363,Connecticut,Easton,Kamala Harris,D
364,Connecticut,East Windsor,Kamala Harris,D
