,State,County,President,Party
628,Georgia,Gordon,Donald Trump,R
629,Georgia,Grady,Donald Trump,R
630,Georgia,Greene,Donald Trump,R
631,Georgia,Gwinnett,Kamala Harris,D
632,Georgia,Habersham,Donald Trump,R
633,Georgia,Hall,Donald Trump,R
634,Georgia,Hancock,Kamala Harris,D
635,Georgia,Haralson,Donald Trump,R
636,Georgia,Harris,Donald Trump,R
637,Georgia,Hart,Donald Trump,R
638,Georgia,Heard,Donald Trump,R
639,Georgia,Henry,Kamala Harris,D
640,Georgia,Houston,Donald Trump,R
641,Georgia,Irwin,Donald Trump,R
642,Georgia,Jackson,Donald Trump,R
643,Georgia,Jasper,Donald Trump,R
644,Georgia,Jeff Davis,Donald Trump,R
645,Georgia,Jefferson,Donald Trump,R
646,Georgia,Jenkins,Donald Trump,R
647,Georgia,Johnson,Donald Trump,R
648,Georgia,Jones,Donald Trump,R
649,Georgia,Lamar,Donald Trump,R
650,Georgia,Lanier,Donald Trump,R
651,Georgia,Laurens,Donald Trump,R
652,Georgia,Lee,Donald Trump,R
653,Georgia,Liberty,Kamala Harris,D
654,Georgia,Lincoln,Donald Trump,R
655,Georgia,Long,Donald Trump,R
656,Georgia,Lowndes,Donald Trump,R
657,Georgia,Lumpkin,Donald Trump,R
658,Georgia,McDuffie,Donald Trump,R
659,Georgia,McIntosh,Donald Trump,R
660,Georgia,Macon,Kamala Harris,D
661,Georgia,Madison,Donald Trump,R
662,Georgia,Marion,Donald Trump,R
663,Georgia,Meriwether,Donald Trump,R
664,Georgia,Miller,Donald Trump,R
665,Georgia,Mitchell,Donald Trump,R
666,Georgia,Monroe,Donald Trump,R
667,Georgia,Montgomery,Donald Trump,R
668,Georgia,Morgan,Donald Trump,R
669,Georgia,Murray,Donald Trump,R
670,Georgia,Muscogee,Kamala Harris,D
671,Georgia,Newton,Kamala Harris,D
672,Georgia,Oconee,Donald Trump,R
673,Georgia,Oglethorpe,Donald Trump,R
674,Georgia,Paulding,Donald Trump,R
675,Georgia,Peach,Donald Trump,R
676,Georgia,Pickens,Donald Trump,R
677,Georgia,Pierce,Donald Trump,R
678,Georgia,Pike,Donald Trump,R
679,Georgia,Polk,Donald Trump,R
680,Georgia,Pulaski,Donald Trump,R
681,Georgia,Putnam,Donald Trump,R
682,Georgia,Quitman,Donald Trump,R
683,Georgia,Rabun,Donald Trump,R
684,Georgia,Randolph,Kamala Harris,D
685,Georgia,Richmond,Kamala Harris,D
686,Georgia,Rockdale,Kamala Harris,D
687,Georgia,Schley,Donald Trump,R
688,Georgia,Screven,Donald Trump,R
689,Georgia,Seminole,Donald Trump,R
690,Georgia,Spalding,Donald Trump,R
691,Georgia,Stephens,Donald Trump,R
692,Georgia,Stewart,Kamala Harris,D
693,Georgia,Sumter,Kamala Harris,D
694,Georgia,Talbot,Kamala Harris,D
695,Georgia,Taliaferro,Kamala Harris,D
696,Georgia,Tattnall,Donald Trump,R
697,Georgia,Taylor,Donald Trump,R
698,Georgia,Telfair,Donald Trump,R
699,Georgia,Terrell,Kamala Harris,D
700,Georgia,Thomas,Donald Trump,R
701,Georgia,Tift,Donald Trump,R
702,Georgia,Toombs,Donald Trump,R
703,Georgia,Towns,Donald Trump,R
704,Georgia,Treutlen,Donald Trump,R
705,Georgia,Troup,Donald Trump,R
706,Georgia,Turner,Donald Trump,R
707,Georgia,Twiggs,Donald Trump,R
708,Georgia,Union,Donald Trump,R
709,Georgia,Upson,Donald Trump,R
710,Georgia,Walker,Donald Trump,R
711,Georgia,Walton,Donald Trump,R
712,Georgia,Ware,Donald Trump,R
713,Georgia,Warren,Kamala Harris,D
714,Georgia,Washington,Donald Trump,R
715,Georgia,Wayne,Donald Trump,R
716,Georgia,Webster,Donald Trump,R
717,Georgia,Wheeler,Donald Trump,R
718,Georgia,White,Donald Trump,R
719,Georgia,Whitfield,Donald Trump,R
720,Georgia,Wilcox,Donald Trump,R
721,Georgia,Wilkes,Donald Trump,R
722,Georgia,Wilkinson,Donald Trump,R
723,Georgia,Worth,Donald Trump,R
724,Hawaii,Hawaii,Kamala Harris,D
725,Hawaii,Honolulu,Kamala Harris,D
726,Hawaii,Kauai,Kamala Harris,D
727,Hawaii,Maui,Kamala Harris,D
728,Idaho,Ada,Donald Trump,R
729,Idaho,Adams,Donald Trump,R
730,Idaho,Bannock,Donald Trump,R
731,Idaho,Bear Lake,Donald Trump,R
732,Idaho,Benewah,Donald Trump,R
733,Idaho,Bingham,Donald Trump,R
734,Idaho,Blaine,Kamala Harris,D
735,Idaho,Boise,Donald Trump,R
736,Idaho,Bonner,Donald Trump,R
737,Idaho,Bonneville,Donald Trump,R
738,Idaho,Boundary,Donald Trump,R
739,Idaho,Butte,Donald Trump,R
740,Idaho,Camas,Donald Trump,R
741,Idaho,Canyon,Donald Trump,R
742,Idaho,Caribou,Donald Trump,R
743,Idaho,Cassia,Donald Trump,R
744,Idaho,Clark,Donald Trump,R
745,Idaho,Clearwater,Donald Trump,R
746,Idaho,Custer,Donald Trump,R
747,Idaho,Elmore,Donald Trump,R
748,Idaho,Franklin,Donald Trump,R
749,Idaho,Fremont,Donald Trump,R
750,Idaho,Gem,Donald Trump,R
751,Idaho,Gooding,Donald Trump,R
752,Idaho,Idaho County,Donald Trump,R
753,Idaho,Jefferson,Donald Trump,R
754,Idaho,Jerome,Donald Trump,R
755,Idaho,Kootenai,Donald Trump,R
756,Idaho,Latah,Donald Trump,R
757,Idaho,Lemhi,Donald Trump,R
758,Idaho,Lewis,Donald Trump,R
759,Idaho,Lincoln,Donald Trump,R
760,Idaho,Madison,Donald Trump,R
761,Idaho,Minidoka,Donald Trump,R
762,Idaho,Nez Perce,Donald Trump,R
763,Idaho,Oneida,Donald Trump,R
764,Idaho,Owyhee,Donald Trump,R
765,Idaho,Payette,Donald Trump,R
766,Idaho,Power,Donald Trump,R
767,Idaho,Shoshone,Donald Trump,R
768,Idaho,Teton,Kamala Harris,D
769,Idaho,Twin Falls,Donald Trump,R
770,Idaho,Valley,Donald Trump,R
771,Idaho,Washington,Donald Trump,R
772,Illinois,Adams,Donald Trump,R
773,Illinois,Alexander,Donald Trump,R
774,Illinois,Bond,Donald Trump,R
775,Illinois,Boone,Donald Trump,R
776,Illinois,Brown,Donald Trump,R
777,Illinois,Bureau,Donald Trump,R
778,Illinois,Calhoun,Donald Trump,R
779,Illinois,Carroll,Donald Trump,R
780,Illinois,Cass,Donald Trump,R
781,Illinois,Champaign,Kamala Harris,D
782,Illinois,Christian,Donald Trump,R
783,Illinois,Clark,Donald Trump,R
784,Illinois,Clay,Donald Trump,R
785,Illinois,Clinton,Donald Trump,R
786,Illinois,Coles,Donald Trump,R
787,Illinois,Cook,Kamala Harris,D
788,Illinois,Crawford,Donald Trump,R
789,Illinois,Cumberland,Donald Trump,R
790,Illinois,DeKalb,Kamala Harris,D
791,Illinois,DeWitt,Donald Trump,R
792,Illinois,Douglas,Donald Trump,R
793,Illinois,DuPage,Kamala Harris,D
794,Illinois,Edgar,Donald Trump,R
795,Illinois,Edwards,Donald Trump,R
796,Illinois,Effingham,Donald Trump,R
797,Illinois,Fayette,Donald Trump,R
798,Illinois,Ford,Donald Trump,R
799,Illinois,Franklin,Donald Trump,R
800,Illinois,Fulton,Donald Trump,R
801,Illinois,Gallatin,Donald Trump,R
802,Illinois,Greene,Donald Trump,R
803,Illinois,Grundy,Donald Trump,R
804,Illinois,Hamilton,Donald Trump,R
805,Illinois,Hancock,Donald Trump,R
806,Illinois,Hardin,Donald Trump,R
807,Illinois,Henderson,Donald Trump,R
808,Illinois,Henry,Donald Trump,R
809,Illinois,Iroquois,Donald Trump,R
810,Illinois,Jackson,Kamala Harris,D
811,Illinois,Jasper,Donald Trump,R
812,Illinois,Jefferson,Donald Trump,R
813,Illinois,Jersey,Donald Trump,R
814,Illinois,Jo Daviess,Donald Trump,R
815,Illinois,Johnson,Donald Trump,R
816,Illinois,Kane,Kamala Harris,D
817,Illinois,Kankakee,Donald Trump,R
818,Illinois,Kendall,Kamala Harris,D
819,Illinois,Knox,Donald Trump,R
820,Illinois,Lake,Kamala Harris,D
821,Illinois,LaSalle,Donald Trump,R
822,Illinois,Lawrence,Donald Trump,R
823,Illinois,Lee,Donald Trump,R
824,Illinois,Livingston,Donald Trump,R
825,Illinois,Logan,Donald Trump,R
826,Illinois,McDonough,Donald Trump,R
827,Illinois,McHenry,Donald Trump,R
828,Illinois,McLean,Kamala Harris,D
829,Illinois,Macon,Donald Trump,R
830,Illinois,Macoupin,Donald Trump,R
831,Illinois,Madison,Donald Trump,R
832,Illinois,Marion,Donald Trump,R
833,Illinois,Marshall,Donald Trump,R
834,Illinois,Mason,Donald Trump,R
835,Illinois,Massac,Donald Trump,R
836,Illinois,Menard,Donald Trump,R
837,Illinois,Mercer,Donald Trump,R
838,Illinois,Monroe,Donald Trump,R
839,Illinois,Montgomery,Donald Trump,R
840,Illinois,Morgan,Donald Trump,R
841,Illinois,Moultrie,Donald Trump,R
842,Illinois,Ogle,Donald Trump,R
843,Illinois,Peoria,Kamala Harris,D
844,Illinois,Perry,Donald Trump,R
845,Illinois,Piatt,Donald Trump,R
846,Illinois,Pike,Donald Trump,R
847,Illinois,Pope,Donald Trump,R
848,Illinois,Pulaski,Donald Trump,R
849,Illinois,Putnam,Donald Trump,R
850,Illinois,Randolph,Donald Trump,R
851,Illinois,Richland,Donald Trump,R
852,Illinois,Rock Island,Kamala Harris,D
853,Illinois,St. Clair,Kamala Harris,D
854,Illinois,Saline,Donald Trump,R
855,Illinois,Sangamon,Donald Trump,R
856,Illinois,Schuyler,Donald Trump,R
857,Illinois,Scott,Donald Trump,R
858,Illinois,Shelby,Donald Trump,R
859,Illinois,Stark,Donald Trump,R
860,Illinois,Stephenson,Donald Trump,R
861,Illinois,Tazewell,Donald Trump,R
862,Illinois,Union,Donald Trump,R
863,Illinois,Vermilion,Donald Trump,R
864,Illinois,Wabash,Donald Trump,R
865,Illinois,Warren,Donald Trump,R
866,Illinois,Washington,Donald Trump,R
867,Illinois,Wayne,Donald Trump,R
868,Illinois,White,Donald Trump,R
869,Illinois,Whiteside,Donald Trump,R
870,Illinois,Will,Kamala Harris,D
871,Illinois,Williamson,Donald Trump,R
872,Illinois,Winnebago,Kamala Harris,D
873,Illinois,Woodford,Donald Trump,R
874,Illinois,Chicago,Kamala Harris,D
875,Illinois,Cook Suburbs,Kamala Harris,D
876,Indiana,Adams,Donald Trump,R
877,Indiana,Allen,Donald Trump,R
878,Indiana,Bartholomew,Donald Trump,R
879,Indiana,Benton,Donald Trump,R
880,Indiana,Blackford,Donald Trump,R
881,Indiana,Boone,Donald Trump,R
882,Indiana,Brown,Donald Trump,R
883,Indiana,Carroll,Donald Trump,R
884,Indiana,Cass,Donald Trump,R
885,Indiana,Clark,Donald Trump,R
886,Indiana,Clay,Donald Trump,R
887,Indiana,Clinton,Donald Trump,R
888,Indiana,Crawford,Donald Trump,R
889,Indiana,Daviess,Donald Trump,R
890,Indiana,Dearborn,Donald Trump,R
891,Indiana,Decatur,Donald Trump,R
892,Indiana,DeKalb,Donald Trump,R
893,Indiana,Delaware,Donald Trump,R
894,Indiana,Dubois,Donald Trump,R
895,Indiana,Elkhart,Donald Trump,R
896,Indiana,Fayette,Donald Trump,R
897,Indiana,Floyd,Donald Trump,R
898,Indiana,Fountain,Donald Trump,R
899,Indiana,Franklin,Donald Trump,R
900,Indiana,Fulton,Donald Trump,R
901,Indiana,Gibson,Donald Trump,R
902,Indiana,Grant,Donald Trump,R
903,Indiana,Greene,Donald Trump,R
904,Indiana,Hamilton,Donald Trump,R
905,Indiana,Hancock,Donald Trump,R
906,Indiana,Harrison,Donald Trump,R
907,Indiana,Hendricks,Donald Trump,R
908,Indiana,Henry,Donald Trump,R
909,Indiana,Howard,Donald Trump,R
910,Indiana,Huntington,Donald Trump,R
911,Indiana,Jackson,Donald Trump,R
912,Indiana,Jasper,Donald Trump,R
913,Indiana,Jay,Donald Trump,R
914,Indiana,Jefferson,Donald Trump,R
915,Indiana,Jennings,Donald Trump,R
916,Indiana,Johnson,Donald Trump,R
917,Indiana,Knox,Donald Trump,R
918,Indiana,Kosciusko,Donald Trump,R
919,Indiana,LaGrange,Donald Trump,R
920,Indiana,Lake,Kamala Harris,D
921,Indiana,LaPorte,Donald Trump,R
922,Indiana,Lawrence,Donald Trump,R
923,Indiana,Madison,Donald Trump,R
924,Indiana,Marion,Kamala Harris,D
925,Indiana,Marshall,Donald Trump,R
926,Indiana,Martin,Donald Trump,R
927,Indiana,Miami,Donald Trump,R
928,Indiana,Monroe,Kamala Harris,D
929,Indiana,Montgomery,Donald Trump,R
930,Indiana,Morgan,Donald Trump,R
931,Indiana,Newton,Donald Trump,R
932,Indiana,Noble,Donald Trump,R
933,Indiana,Ohio,Donald Trump,R
934,Indiana,Orange,Donald Trump,R
935,Indiana,Owen,Donald Trump,R
936,Indiana,Parke,Donald Trump,R
937,Indiana,Perry,Donald Trump,R
938,Indiana,Pike,Donald Trump,R
939,Indiana,Porter,Donald Trump,R
940,Indiana,Posey,Donald Trump,R
941,Indiana,Pulaski,Donald Trump,R
942,Indiana,Putnam,Donald Trump,R
943,Indiana,Randolph,Donald Trump,R
944,Indiana,Ripley,Donald Trump,R
945,Indiana,Rush,Donald Trump,R
946,Indiana,St. Joseph,Kamala Harris,D
947,Indiana,Scott,Donald Trump,R
948,Indiana,Shelby,Donald Trump,R
949,Indiana,Spencer,Donald Trump,R
950,Indiana,Starke,Donald Trump,R
951,Indiana,Steuben,Donald Trump,R
952,Indiana,Sullivan,Donald Trump,R
953,Indiana,Switzerland,Donald Trump,R
954,Indiana,Tippecanoe,Donald Trump,R
955,Indiana,Tipton,Donald Trump,R
956,Indiana,Union,Donald Trump,R
957,Indiana,Vanderburgh,Donald Trump,R
958,Indiana,Vermillion,Donald Trump,R
959,Indiana,Vigo,Donald Trump,R
960,Indiana,Wabash,Donald Trump,R
961,Indiana,Warren,Donald Trump,R
962,Indiana,Warrick,Donald Trump,R
963,Indiana,Washington,Donald Trump,R
964,Indiana,Wayne,Donald Trump,R
965,Indiana,Wells,Donald Trump,R
966,Indiana,White,Donald Trump,R
967,Indiana,Whitley,Donald Trump,R
968,Iowa,Adair,Donald Trump,R
969,Iowa,Adams,Donald Trump,R
970,Iowa,Allamakee,Donald Trump,R
971,Iowa,Appanoose,Donald Trump,R
972,Iowa,Audubon,Donald Trump,R
973,Iowa,Benton,Donald Trump,R
974,Iowa,Black Hawk,Kamala Harris,D
975,Iowa,Boone,Donald Trump,R
976,Iowa,Bremer,Donald Trump,R
977,Iowa,Buchanan,Donald Trump,R
978,Iowa,Buena Vista,Donald Trump,R
979,Iowa,Butler,Donald Trump,R
980,Iowa,Calhoun,Donald Trump,R
981,Iowa,Carroll,Donald Trump,R
982,Iowa,Cass,Donald Trump,R
983,Iowa,Cedar,Donald Trump,R
984,Iowa,Cerro Gordo,Donald Trump,R
985,Iowa,Cherokee,Donald Trump,R
986,Iowa,Chickasaw,Donald Trump,R
987,Iowa,Clarke,Donald Trump,R
988,Iowa,Clay,Donald Trump,R
989,Iowa,Clayton,Donald Trump,R
990,Iowa,Clinton,Donald Trump,R
991,Iowa,Crawford,Donald Trump,R
992,Iowa,Dallas,Donald Trump,R
993,Iowa,Davis,Donald Trump,R
994,Iowa,Decatur,Donald Trump,R
995,Iowa,Delaware,Donald Trump,R
996,Iowa,Des Moines,Donald Trump,R
997,Iowa,Dickinson,Donald Trump,R
998,Iowa,Dubuque,Donald Trump,R
999,Iowa,Emmet,Donald Trump,R
1000,Iowa,Fayette,Donald Trump,R
1001,Iowa,Floyd,Donald Trump,R
1002,Iowa,Franklin,Donald Trump,R
1003,Iowa,Fremont,Donald Trump,R
1004,Iowa,Greene,Donald Trump,R
1005,Iowa,Grundy,Donald Trump,R
1006,Iowa,Guthrie,Donald Trump,R
1007,Iowa,Hamilton,Donald Trump,R
1008,Iowa,Hancock,Donald Trump,R
1009,Iowa,Hardin,Donald Trump,R
1010,Iowa,Harrison,Donald Trump,R
1011,Iowa,Henry,Donald Trump,R
1012,Iowa,Howard,Donald Trump,R
1013,Iowa,Humboldt,Donald Trump,R
1014,Iowa,Ida,Donald Trump,R
1015,Iowa,Iowa,Donald Trump,R
1016,Iowa,Jackson,Donald Trump,R
1017,Iowa,Jasper,Donald Trump,R
1018,Iowa,Jefferson,Donald Trump,R
1019,Iowa,Johnson,Kamala Harris,D
1020,Iowa,Jones,Donald Trump,R
1021,Iowa,Keokuk,Donald Trump,R
1022,Iowa,Kossuth,Donald Trump,R
1023,Iowa,Lee,Donald Trump,R
1024,Iowa,Linn,Kamala Harris,D
1025,Iowa,Louisa,Donald Trump,R
1026,Iowa,Lucas,Donald Trump,R
1027,Iowa,Lyon,Donald Trump,R
1028,Iowa,Madison,Donald Trump,R
1029,Iowa,Mahaska,Donald Trump,R
1030,Iowa,Marion,Donald Trump,R
1031,Iowa,Marshall,Donald Trump,R
1032,Iowa,Mills,Donald Trump,R
1033,Iowa,Mitchell,Donald Trump,R
1034,Iowa,Monona,Donald Trump,R
1035,Iowa,Monroe,Donald Trump,R
1036,Iowa,Montgomery,Donald Trump,R
1037,Iowa,Muscatine,Donald Trump,R
1038,Iowa,O'Brien,Donald Trump,R
1039,Iowa,Osceola,Donald Trump,R
1040,Iowa,Page,Donald Trump,R
1041,Iowa,Palo Alto,Donald Trump,R
1042,Iowa,Plymouth,Donald Trump,R
1043,Iowa,Pocahontas,Donald Trump,R
1044,Iowa,Polk,Kamala Harris,D
1045,Iowa,Pottawattamie,Donald Trump,R
1046,Iowa,Poweshiek,Donald Trump,R
1047,Iowa,Ringgold,Donald Trump,R
1048,Iowa,Sac,Donald Trump,R
1049,Iowa,Scott,Donald Trump,R
1050,Iowa,Shelby,Donald Trump,R
1051,Iowa,Sioux,Donald Trump,R
1052,Iowa,Story,Kamala Harris,D
1053,Iowa,Tama,Donald Trump,R
1054,Iowa,Taylor,Donald Trump,R
1055,Iowa,Union,Donald Trump,R
1056,Iowa,Van Buren,Donald Trump,R
1057,Iowa,Wapello,Donald Trump,R
1058,Iowa,Warren,Donald Trump,R
1059,Iowa,Washington,Donald Trump,R
1060,Iowa,Wayne,Donald Trump,R
1061,Iowa,Webster,Donald Trump,R
1062,Iowa,Winnebago,Donald Trump,R
1063,Iowa,Winneshiek,Donald Trump,R
1064,Iowa,Woodbury,Donald Trump,R
1065,Iowa,Worth,Donald Trump,R
1066,Iowa,Wright,Donald Trump,R
1067,Kansas,Allen,Donald Trump,R
1068,Kansas,Anderson,Donald Trump,R
1069,Kansas,Atchison,Donald Trump,R
1070,Kansas,Barber,Donald Trump,R
1071,Kansas,Barton,Donald Trump,R
1072,Kansas,Bourbon,Donald Trump,R
1073,Kansas,Brown,Donald Trump,R
1074,Kansas,Butler,Donald Trump,R
1075,Kansas,Chase,Donald Trump,R
1076,Kansas,Chautauqua,Donald Trump,R
1077,Kansas,Cherokee,Donald Trump,R
1078,Kansas,Cheyenne,Donald Trump,R
1079,Kansas,Clark,Donald Trump,R
1080,Kansas,Clay,Donald Trump,R
1081,Kansas,Cloud,Donald Trump,R
1082,Kansas,Coffey,Donald Trump,R
1083,Kansas,Comanche,Donald Trump,R
1084,Kansas,Cowley,Donald Trump,R
1085,Kansas,Crawford,Donald Trump,R
1086,Kansas,Decatur,Donald Trump,R
1087,Kansas,Dickinson,Donald Trump,R
1088,Kansas,Doniphan,Donald Trump,R
1089,Kansas,Douglas,Kamala Harris,D
1090,Kansas,Edwards,Donald Trump,R
1091,Kansas,Elk,Donald Trump,R
1092,Kansas,Ellis,Donald Trump,R
1093,Kansas,Ellsworth,Donald Trump,R
1094,Kansas,Finney,Donald Trump,R
1095,Kansas,Ford,Donald Trump,R
1096,Kansas,Franklin,Donald Trump,R
1097,Kansas,Geary,Donald Trump,R
1098,Kansas,Gove,Donald Trump,R
1099,Kansas,Graham,Donald Trump,R
1100,Kansas,Grant,Donald Trump,R
1101,Kansas,Gray,Donald Trump,R
1102,Kansas,Greeley,Donald Trump,R
1103,Kansas,Greenwood,Donald Trump,R
1104,Kansas,Hamilton,Donald Trump,R
1105,Kansas,Harper,Donald Trump,R
1106,Kansas,Harvey,Donald Trump,R
1107,Kansas,Haskell,Donald Trump,R
1108,Kansas,Hodgeman,Donald Trump,R
1109,Kansas,Jackson,Donald Trump,R
1110,Kansas,Jefferson,Donald Trump,R
1111,Kansas,Jewell,Donald Trump,R
1112,Kansas,Johnson,Kamala Harris,D
1113,Kansas,Kearny,Donald Trump,R
1114,Kansas,Kingman,Donald Trump,R
1115,Kansas,Kiowa,Donald Trump,R
1116,Kansas,Labette,Donald Trump,R
1117,Kansas,Lane,Donald Trump,R
1118,Kansas,Leavenworth,Donald Trump,R
1119,Kansas,Lincoln,Donald Trump,R
1120,Kansas,Linn,Donald Trump,R
1121,Kansas,Logan,Donald Trump,R
1122,Kansas,Lyon,Donald Trump,R
1123,Kansas,McPherson,Donald Trump,R
1124,Kansas,Marion,Donald Trump,R
1125,Kansas,Marshall,Donald Trump,R
1126,Kansas,Meade,Donald Trump,R
1127,Kansas,Miami,Donald Trump,R
1128,Kansas,Mitchell,Donald Trump,R
1129,Kansas,Montgomery,Donald Trump,R
1130,Kansas,Morris,Donald Trump,R
1131,Kansas,Morton,Donald Trump,R
1132,Kansas,Nemaha,Donald Trump,R
1133,Kansas,Neosho,Donald Trump,R
1134,Kansas,Ness,Donald Trump,R
1135,Kansas,Norton,Donald Trump,R
1136,Kansas,Osage,Donald Trump,R
1137,Kansas,Osborne,Donald Trump,R
1138,Kansas,Ottawa,Donald Trump,R
1139,Kansas,Pawnee,Donald Trump,R
1140,Kansas,Phillips,Donald Trump,R
1141,Kansas,Pottawatomie,Donald Trump,R
1142,Kansas,Pratt,Donald Trump,R
1143,Kansas,Rawlins,Donald Trump,R
1144,Kansas,Reno,Donald Trump,R
1145,Kansas,Republic,Donald Trump,R
1146,Kansas,Rice,Donald Trump,R
1147,Kansas,Riley,Kamala Harris,D
1148,Kansas,Rooks,Donald Trump,R
1149,Kansas,Rush,Donald Trump,R
1150,Kansas,Russell,Donald Trump,R
1151,Kansas,Saline,Donald Trump,R
1152,Kansas,Scott,Donald Trump,R
1153,Kansas,Sedgwick,Donald Trump,R
1154,Kansas,Seward,Donald Trump,R
1155,Kansas,Shawnee,Kamala Harris,D
1156,Kansas,Sheridan,Donald Trump,R
1157,Kansas,Sherman,Donald Trump,R
1158,Kansas,Smith,Donald Trump,R
1159,Kansas,Stafford,Donald Trump,R
1160,Kansas,Stanton,Donald Trump,R
1161,Kansas,Stevens,Donald Trump,R
1162,Kansas,Sumner,Donald Trump,R
1163,Kansas,Thomas,Donald Trump,R
1164,Kansas,Trego,Donald Trump,R
1165,Kansas,Wabaunsee,Donald Trump,R
1166,Kansas,Wallace,Donald Trump,R
1167,Kansas,Washington,Donald Trump,R
1168,Kansas,Wichita,Donald Trump,R
1169,Kansas,Wilson,Donald Trump,R
1170,Kansas,Woodson,Donald Trump,R
1171,Kansas,Wyandotte,Kamala Harris,D
1172,Kentucky,Adair,Donald Trump,R
1173,Kentucky,Allen,Donald Trump,R
1174,Kentucky,Anderson,Donald Trump,R
1175,Kentucky,Ballard,Donald Trump,R
1176,Kentucky,Barren,Donald Trump,R
1177,Kentucky,Bath,Donald Trump,R
1178,Kentucky,Bell,Donald Trump,R
1179,Kentucky,Boone,Donald Trump,R
1180,Kentucky,Bourbon,Donald Trump,R
1181,Kentucky,Boyd,Donald Trump,R
1182,Kentucky,Boyle,Donald Trump,R
1183,Kentucky,Bracken,Donald Trump,R
1184,Kentucky,Breathitt,Donald Trump,R
1185,Kentucky,Breckinridge,Donald Trump,R
1186,Kentucky,Bullitt,Donald Trump,R
1187,Kentucky,Butler,Donald Trump,R
1188,Kentucky,Caldwell,Donald Trump,R
1189,Kentucky,Calloway,Donald Trump,R
1190,Kentucky,Campbell,Donald Trump,R
1191,Kentucky,Carlisle,Donald Trump,R
1192,Kentucky,Carroll,Donald Trump,R
1193,Kentucky,Carter,Donald Trump,R
1194,Kentucky,Casey,Donald Trump,R
1195,Kentucky,Christian,Donald Trump,R
1196,Kentucky,Clark,Donald Trump,R
1197,Kentucky,Clay,Donald Trump,R
1198,Kentucky,Clinton,Donald Trump,R
1199,Kentucky,Crittenden,Donald Trump,R
1200,Kentucky,Cumberland,Donald Trump,R
1201,Kentucky,Daviess,Donald Trump,R
1202,Kentucky,Edmonson,Donald Trump,R
1203,Kentucky,Elliott,Donald Trump,R
1204,Kentucky,Estill,Donald Trump,R
1205,Kentucky,Fayette,Kamala Harris,D
1206,Kentucky,Fleming,Donald Trump,R
1207,Kentucky,Floyd,Donald Trump,R
1208,Kentucky,Franklin,Donald Trump,R
1209,Kentucky,Fulton,Donald Trump,R
1210,Kentucky,Gallatin,Donald Trump,R
1211,Kentucky,Garrard,Donald Trump,R
1212,Kentucky,Grant,Donald Trump,R
1213,Kentucky,Graves,Donald Trump,R
1214,Kentucky,Grayson,Donald Trump,R
1215,Kentucky,Green,Donald Trump,R
1216,Kentucky,Greenup,Donald Trump,R
1217,Kentucky,Hancock,Donald Trump,R
1218,Kentucky,Hardin,Donald Trump,R
1219,Kentucky,Harlan,Donald Trump,R
1220,Kentucky,Harrison,Donald Trump,R
1221,Kentucky,Hart,Donald Trump,R
1222,Kentucky,Henderson,Donald Trump,R
1223,Kentucky,Henry,Donald Trump,R
1224,Kentucky,Hickman,Donald Trump,R
1225,Kentucky,Hopkins,Donald Trump,R
1226,Kentucky,Jackson,Donald Trump,R
1227,Kentucky,Jefferson,Kamala Harris,D
1228,Kentucky,Jessamine,Donald Trump,R
1229,Kentucky,Johnson,Donald Trump,R
1230,Kentucky,Kenton,Donald Trump,R
1231,Kentucky,Knott,Donald Trump,R
1232,Kentucky,Knox,Donald Trump,R
1233,Kentucky,LaRue,Donald Trump,R
1234,Kentucky,Laurel,Donald Trump,R
1235,Kentucky,Lawrence,Donald Trump,R
1236,Kentucky,Lee,Donald Trump,R
1237,Kentucky,Leslie,Donald Trump,R
1238,Kentucky,Letcher,Donald Trump,R
1239,Kentucky,Lewis,Donald Trump,R
1240,Kentucky,Lincoln,Donald Trump,R
1241,Kentucky,Livingston,Donald Trump,R
1242,Kentucky,Logan,Donald Trump,R
1243,Kentucky,Lyon,Donald Trump,R
1244,Kentucky,McCracken,Donald Trump,R
1245,Kentucky,McCreary,Donald Trump,R
1246,Kentucky,McLean,Donald Trump,R
1247,Kentucky,Madison,Donald Trump,R
1248,Kentucky,Magoffin,Donald Trump,R
1249,Kentucky,Marion,Donald Trump,R
1250,Kentucky,Marshall,Donald Trump,R
1251,Kentucky,Martin,Donald Trump,R
1252,Kentucky,Mason,Donald Trump,R
1253,Kentucky,Meade,Donald Trump,R
1254,Kentucky,Menifee,Donald Trump,R
1255,Kentucky,Mercer,Donald Trump,R
1256,Kentucky,Metcalfe,Donald Trump,R
1257,Kentucky,Monroe,Donald Trump,R
1258,Kentucky,Montgomery,Donald Trump,R
1259,Kentucky,Morgan,Donald Trump,R
1260,Kentucky,Muhlenberg,Donald Trump,R
1261,Kentucky,Nelson,Donald Trump,R
1262,Kentucky,Nicholas,Donald Trump,R
1263,Kentucky,Ohio,Donald Trump,R
1264,Kentucky,Oldham,Donald Trump,R
1265,Kentucky,Owen,Donald Trump,R
1266,Kentucky,Owsley,Donald Trump,R
1267,Kentucky,Pendleton,Donald Trump,R
1268,Kentucky,Perry,Donald Trump,R
1269,Kentucky,Pike,Donald Trump,R
1270,Kentucky,Powell,Donald Trump,R
1271,Kentucky,Pulaski,Donald Trump,R
1272,Kentucky,Robertson,Donald Trump,R
1273,Kentucky,Rockcastle,Donald Trump,R
