GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",39695,43836,51835,63494,81034,91255,100511,118761,135743,163010,192994,210450,246123,261538,298150,348146,378772,406016,423596,465240,492216,564010,608245,658981,712394,790226,844994,876716,920861,970954,1005859,1075818,1133583,1192804,1249763,1293005,1359300,1465622,1518674,1590630,1575621,1598329,1641906,1667661,1695747,1735219,1907229,1924235,1862299,1879121,1967865,2030930,2190908,2366414,2582118
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",12710,12105,14903,16666,19299,28112,42695,59269,77373,98437,120126,116063,107317,45072,10689,7792,-2851,-6546,-5826,-8118,-6978,-8731,-13089,-18755,-26943,-19660,-27904,-33333,-40603,-41598,-50703,-57668,-54342,-46943,-35190,-18507,9373,38542,73037,86011,74020,79323,87649,95176,85613,95173,93331,93891,93541,100377,107522,128511,108901,75672,93629
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",1211631,1343395,1496202,1717377,1896186,2090296,2332825,2660719,3011955,3495042,3945339,4302878,4685189,4856410,5343750,5947246,6502797,6922755,7386076,7823646,8309212,8889813,9536043,10341533,11241394,12150000,13022949,13487593,14230019,15039909,15596798,17175058,18025976,18955226,19923700,21140482,22232373,23676820,24404045,24989928,24678179,24815488,25701176,25752802,25060055,25899611,26583083,27674760,28245480,29256026,30960878,31530583,34261651,36749694,39383130
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",264075,311665,356974,406614,457422,533566,606126,673037,751997,882614,1005548,1199003,1450930,1727856,1915058,2131023,2401683,2558924,2619863,2798117,2968004,3193798,3335970,3450902,3663414,4030803,4441837,4772013,5075167,5330900,5085183,5391099,5638614,5543425,5631230,5916550,6410896,7106918,7623201,8164583,7580149,7362469,8155756,8654445,8514063,9346060,9415402,9906190,10232997,10630967,11476856,11640710,12041436,13239192,14631489
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",131719,166786,191773,212558,251142,302334,376899,421422,439679,478486,552096,667469,763690,804528,863397,938105,1011380,1088826,1165949,1257160,1404926,1535266,1723151,1909403,2071649,2191350,2418519,2638210,2716872,2794246,2979957,3183292,3566103,3923479,4217838,4525196,4897872,5379177,5857769,6804240,7514261,8211085,8344725,8373187,8533649,9352283,10098602,10398711,10440104,11061486,11647459,15443391,17510490,16606267,16021045
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",1024468,1131621,1257613,1439905,1600574,1754633,1937948,2207520,2486119,2874195,3263789,3596877,3976493,4194139,4630218,5116591,5594248,5959302,6356220,6714388,7070838,7583403,8064142,8649091,9359001,10212613,11026916,11450581,12118183,12872868,13439585,14480303,15315716,15926268,16658560,17587885,18566031,19794126,20706645,21327344,20870958,20773403,21000417,21304789,21405248,21976479,22723471,23434800,23971476,24868085,26361218,26830668,28834876,31459436,33789001
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",129694,147046,177839,212956,240621,270900,310188,355652,405984,472286,551364,613825,700009,757055,868896,982687,1102748,1194675,1237287,1383158,1530523,1708702,1853163,2117008,2273752,2455533,2572281,2614719,2701639,2837588,2926711,3171052,3276660,3578716,3849760,4110543,4436995,4553022,4733254,4886128,4839681,5026559,5180375,5307685,5252281,5260697,5545290,5782251,5856235,6002168,6145587,6150559,6505005,6585895,7039420
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",89999,103210,126004,149462,159587,179645,209677,236891,270241,309276,358370,403375,453886,495517,570746,634541,723976,788659,813691,917918,1038307,1144692,1244918,1458027,1561358,1665307,1727287,1738003,1780778,1866634,1920852,2095234,2143077,2385912,2599997,2817538,3077695,3087400,3214580,3295498,3264060,3428230,3538469,3640024,3556534,3525478,3638061,3858016,3993936,4123047,4177722,4119629,4314097,4219481,4457302
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",39695,43836,51835,63494,81034,91255,100511,118761,135743,163010,192994,210450,246123,261538,298150,348146,378772,406016,423596,465240,492216,564010,608245,658981,712394,790226,844994,876716,920861,970954,1005859,1075818,1133583,1192804,1249763,1293005,1359300,1465622,1518674,1590630,1575621,1598329,1641906,1667661,1695747,1735219,1907229,1924235,1862299,1879121,1967865,2030930,2190908,2366414,2582118
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",123134,138844,147087,169543,192269,213908,236828,262791,299034,356373,373799,376974,374182,365941,404224,493861,540778,566618,633407,665867,718196,751945,875449,932793,1090760,1112800,1185512,1252542,1335669,1363988,1364003,1802591,1836237,1960971,2033321,2166143,2073859,2370819,2103141,2026701,2201766,2260074,2457472,2120673,1845458,2197461,2099909,2337578,2335361,2427709,2688582,2916469,3669588,3925106,4165408
